date,city,province,hair_color,laughing,height
2016-10-17,Calgary,Alberta,white,0,153
2016-10-11,Calgary,Alberta,green,1,162
2016-10-11,Calgary,Alberta,white,1,171
2016-10-14,Calgary,Alberta,yellow,1,194
2016-10-11,Calgary,Alberta,white,0,159
2016-10-24,Calgary,Alberta,yellow,0,194
2016-10-14,Calgary,Alberta,green,1,199
2016-10-17,Calgary,Alberta,white,0,158
2016-10-03,Calgary,Alberta,yellow,1,181
2016-10-31,Calgary,Alberta,white,0,183
2016-10-11,Calgary,Alberta,green,0,183
2016-10-07,Calgary,Alberta,white,1,194
2016-10-10,Calgary,Alberta,red,0,186
2016-10-16,Calgary,Alberta,blue,0,151
2016-10-19,Calgary,Alberta,yellow,0,168
2016-10-21,Calgary,Alberta,white,0,182
2016-10-07,Calgary,Alberta,red,1,160
2016-10-14,Calgary,Alberta,white,0,154
2016-10-26,Calgary,Alberta,green,0,180
2016-10-10,Calgary,Alberta,white,0,151
2016-10-22,Calgary,Alberta,blue,0,193
2016-10-19,Calgary,Alberta,white,0,153
2016-10-06,Calgary,Alberta,yellow,0,190
2016-10-12,Calgary,Alberta,yellow,0,195
2016-10-09,Calgary,Alberta,white,1,164
2016-10-26,Calgary,Alberta,green,1,197
2016-10-31,Calgary,Alberta,green,0,153
2016-10-24,Calgary,Alberta,yellow,1,157
2016-10-14,Calgary,Alberta,blue,0,186
2016-10-27,Calgary,Alberta,green,1,174
2016-10-21,Calgary,Alberta,white,0,157
2016-10-31,Calgary,Alberta,yellow,0,187
2016-10-16,Calgary,Alberta,red,0,152
2016-10-26,Calgary,Alberta,white,1,181
2016-10-20,Calgary,Alberta,blue,1,174
2016-10-25,Calgary,Alberta,white,1,152
2016-10-16,Calgary,Alberta,red,1,176
2016-10-12,Calgary,Alberta,red,0,162
2016-10-06,Calgary,Alberta,yellow,0,197
2016-10-29,Calgary,Alberta,blue,1,189
2016-10-22,Edmonton,Alberta,yellow,1,150
2016-10-04,Edmonton,Alberta,green,1,198
2016-10-16,Edmonton,Alberta,white,1,187
2016-10-29,Edmonton,Alberta,red,0,183
2016-10-14,Edmonton,Alberta,white,0,158
2016-10-24,Edmonton,Alberta,red,0,196
2016-10-11,Edmonton,Alberta,white,0,170
2016-10-02,Edmonton,Alberta,white,1,191
2016-10-09,Edmonton,Alberta,blue,0,156
2016-10-03,Edmonton,Alberta,white,0,151
2016-10-14,Edmonton,Alberta,green,0,190
2016-10-01,Edmonton,Alberta,yellow,0,151
2016-10-07,Edmonton,Alberta,white,0,169
2016-10-16,Edmonton,Alberta,yellow,0,199
2016-10-22,Edmonton,Alberta,white,0,169
2016-10-27,Edmonton,Alberta,red,0,178
2016-10-17,Edmonton,Alberta,blue,1,164
2016-10-05,Edmonton,Alberta,red,0,160
2016-10-08,Edmonton,Alberta,green,0,190
2016-10-26,Edmonton,Alberta,blue,1,173
2016-10-14,Edmonton,Alberta,green,1,187
2016-10-23,Edmonton,Alberta,blue,0,170
2016-10-16,Edmonton,Alberta,blue,1,154
2016-10-21,Edmonton,Alberta,blue,1,174
2016-10-15,Edmonton,Alberta,white,1,190
2016-10-05,Edmonton,Alberta,white,1,157
2016-10-19,Edmonton,Alberta,blue,1,171
2016-10-19,Edmonton,Alberta,white,0,180
2016-10-14,Edmonton,Alberta,blue,0,179
2016-10-08,Edmonton,Alberta,yellow,0,152
2016-10-05,Edmonton,Alberta,green,0,199
2016-10-03,Edmonton,Alberta,green,0,198
2016-10-04,Edmonton,Alberta,green,1,157
2016-10-04,Edmonton,Alberta,white,0,163
2016-10-21,Edmonton,Alberta,blue,1,181
2016-10-07,Edmonton,Alberta,blue,1,165
2016-10-02,Edmonton,Alberta,green,0,199
2016-10-26,Edmonton,Alberta,yellow,0,193
2016-10-22,Edmonton,Alberta,blue,1,152
2016-10-01,Edmonton,Alberta,red,1,177
2016-10-15,Edmonton,Alberta,blue,1,155
2016-10-21,Edmonton,Alberta,white,0,168
2016-10-20,Edmonton,Alberta,yellow,0,186
2016-10-25,Edmonton,Alberta,yellow,1,156
2016-10-04,Edmonton,Alberta,yellow,0,150
2016-10-27,Edmonton,Alberta,yellow,1,169
2016-10-30,Edmonton,Alberta,white,1,193
2016-10-26,Edmonton,Alberta,white,1,156
2016-10-30,Edmonton,Alberta,white,1,197
2016-10-24,Edmonton,Alberta,green,1,180
2016-10-16,Edmonton,Alberta,yellow,1,180
2016-10-06,Edmonton,Alberta,green,1,191
2016-10-02,Edmonton,Alberta,yellow,1,187
2016-10-17,Edmonton,Alberta,red,0,192
2016-10-18,Edmonton,Alberta,white,1,181
2016-10-30,Edmonton,Alberta,blue,0,161
2016-10-30,Edmonton,Alberta,yellow,0,192
2016-10-30,Edmonton,Alberta,yellow,0,159
2016-10-26,Edmonton,Alberta,blue,1,158
2016-10-17,Edmonton,Alberta,green,0,196
2016-10-22,Edmonton,Alberta,blue,0,197
2016-10-29,Edmonton,Alberta,red,1,179
2016-10-26,Edmonton,Alberta,blue,0,190
2016-10-25,Edmonton,Alberta,white,1,162
2016-10-15,Edmonton,Alberta,red,1,188
2016-10-28,Edmonton,Alberta,white,1,150
2016-10-20,Edmonton,Alberta,blue,0,193
2016-10-10,Edmonton,Alberta,yellow,1,185
2016-10-11,Edmonton,Alberta,white,1,187
2016-10-04,Edmonton,Alberta,blue,0,153
2016-10-14,Edmonton,Alberta,yellow,0,189
