date,city,province,hair_color,laughing,height
2016-10-01,Montreal,Quebec,green,0,159
2016-10-02,Montreal,Quebec,blue,0,177
2016-10-28,Montreal,Quebec,red,1,186
2016-10-26,Montreal,Quebec,red,1,189
2016-10-28,Montreal,Quebec,yellow,1,165
2016-10-04,Montreal,Quebec,yellow,0,196
2016-10-20,Montreal,Quebec,white,0,179
2016-10-05,Montreal,Quebec,white,0,168
2016-10-25,Montreal,Quebec,red,1,191
2016-10-26,Montreal,Quebec,yellow,1,161
2016-10-21,Montreal,Quebec,red,1,187
2016-10-18,Montreal,Quebec,yellow,1,168
2016-10-15,Montreal,Quebec,yellow,0,186
2016-10-19,Montreal,Quebec,yellow,0,174
2016-10-01,Montreal,Quebec,white,0,175
2016-10-08,Montreal,Quebec,blue,0,156
2016-10-09,Montreal,Quebec,green,0,177
2016-10-06,Montreal,Quebec,blue,0,186
2016-10-19,Montreal,Quebec,yellow,0,179
2016-10-24,Montreal,Quebec,red,0,159
2016-10-06,Montreal,Quebec,green,0,189
2016-10-28,Montreal,Quebec,yellow,1,192
2016-10-25,Montreal,Quebec,green,0,199
2016-10-04,Montreal,Quebec,blue,1,162
2016-10-10,Montreal,Quebec,green,0,192
2016-10-11,Montreal,Quebec,red,1,195
2016-10-20,Montreal,Quebec,blue,0,191
2016-10-26,Montreal,Quebec,white,1,168
2016-10-29,Montreal,Quebec,green,1,177
2016-10-11,Montreal,Quebec,white,0,176
2016-10-24,Montreal,Quebec,white,0,152
2016-10-02,Montreal,Quebec,red,0,156
2016-10-07,Montreal,Quebec,green,0,170
2016-10-30,Montreal,Quebec,red,0,192
2016-10-17,Montreal,Quebec,green,1,177
2016-10-17,Montreal,Quebec,green,1,165
2016-10-21,Montreal,Quebec,red,0,173
2016-10-06,Montreal,Quebec,white,1,163
2016-10-04,Montreal,Quebec,blue,1,174
2016-10-22,Montreal,Quebec,blue,1,191
2016-10-16,Montreal,Quebec,green,0,194
2016-10-17,Montreal,Quebec,green,1,191
2016-10-24,Montreal,Quebec,blue,1,160
2016-10-21,Montreal,Quebec,yellow,0,174
2016-10-01,Montreal,Quebec,red,0,159
2016-10-28,Montreal,Quebec,blue,0,182
2016-10-16,Montreal,Quebec,green,0,192
2016-10-03,Montreal,Quebec,yellow,1,160
2016-10-10,Montreal,Quebec,yellow,0,186
2016-10-25,Montreal,Quebec,red,1,183
2016-10-31,Montreal,Quebec,blue,0,193
2016-10-03,Montreal,Quebec,blue,1,157
2016-10-30,Montreal,Quebec,yellow,1,190
2016-10-14,Montreal,Quebec,blue,1,197
2016-10-15,Montreal,Quebec,white,1,159
2016-10-08,Montreal,Quebec,green,0,164
2016-10-09,Montreal,Quebec,green,1,188
